DL_bitrate_SMOOTH,PINGAVG_SMOOTH,PINGLOSS_SMOOTH
28316.2,66,0.0
28746.2,66,0.0
28733.6,66,0.0
25685.2,66,0.0
19854.6,66,0.0
14283.0,66,0.0
13850.4,66,0.0
16307.4,66,0.0
22311.0,66,0.0
28121.8,66,0.0
28198.0,66,0.0
28457.0,66,0.0
28944.0,66,0.0
30324.2,66,0.0
26818.0,66,0.0
23814.4,66,0.0
18318.4,66,0.0
15682.6,66,0.0
12900.0,67,0.0
14308.6,67,0.0
17733.4,67,0.0
18462.4,67,0.0
19016.4,67,0.0
19386.0,67,0.0
19647.2,67,0.0
18780.8,67,0.0
14848.0,67,0.0
10838.4,67,0.0
9716.8,67,0.0
10418.0,67,0.0
11800.0,67,0.0
16744.2,67,0.0
21688.4,67,0.0
23415.2,67,0.0
23445.8,67,0.0
67443.8,67,0.0
92184.6,67,0.0
110780.4,67,0.0
123172.4,67,0.0
97052.6,67,0.0
69806.0,67,0.0
42955.8,67,0.0
9609.2,68,0.0
20073.8,68,0.0
65406.4,70,0.0
87069.0,70,0.0
103771.8,71,0.0
96409.4,71,0.0
78411.6,72,0.0
54547.4,73,0.0
31635.8,73,0.0
9732.0,74,0.0
5241.2,76,0.0
4515.0,76,0.0
3665.2,76,0.0
4114.4,76,0.0
3767.6,76,0.0
4007.4,76,0.0
4435.6,76,0.0
4841.2,76,0.0
5571.8,76,0.0
4762.2,76,0.0
2969.2,76,0.0
3057.0,76,0.0
4631.0,77,0.0
5956.8,77,0.0
6665.8,77,0.0
6589.6,78,0.0
6265.6,78,0.0
5836.4,78,0.0
6313.6,79,0.0
5213.4,79,0.0
3880.8,79,0.0
4015.4,80,0.0
5766.6,85,0.0
7642.0,90,0.0
9060.6,95,0.0
10058.0,100,0.0
9295.2,105,0.0
7704.0,110,0.0
7609.6,115,0.0
9268.0,119,0.0
14260.4,124,0.0
19713.4,129,0.0
20194.4,134,0.0
19637.4,139,0.0
13245.6,148,4.0
16423.2,143,8.0
15272.6,138,12.0
22088.2,132,16.0
17879.6,127,20.0
13067.8,122,24.0
9893.6,116,28.0
10578.8,111,32.0
3414.4,106,36.0
3661.6,100,40.0
2240.2,90,48.0
3437.0,79,52.0
5561.4,74,52.0
7372.0,75,48.0
9907.8,75,44.0
13572.6,75,40.0
15801.8,76,36.0
16727.0,76,32.0
18217.6,76,28.0
19523.4,77,24.0
19830.8,77,20.0
15317.0,77,16.0
11940.6,78,12.0
7723.4,79,4.0
5725.6,79,0.0
7159.0,80,0.0
8550.8,80,0.0
8247.8,80,0.0
8108.8,80,0.0
7995.2,81,0.0
8289.6,81,0.0
6798.4,81,0.0
5785.6,81,0.0
4394.8,82,0.0
3587.4,80,0.0
5735.6,79,0.0
9129.6,78,0.0
12006.0,77,0.0
13398.4,76,0.0
12799.2,75,0.0
10611.4,74,0.0
11807.8,73,0.0
14818.2,72,0.0
11924.8,71,0.0
11434.4,70,0.0
12033.6,69,0.0
7215.4,67,0.0
8249.6,68,0.0
8474.6,69,0.0
7952.4,70,0.0
4470.8,71,0.0
2726.6,72,0.0
2040.8,73,0.0
2025.6,74,0.0
